sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;0,347;0,348;0,338;0,35;0,335;0,348;0,342;4941840;1688273,79;197;
2024-06-24;0,335;0,336;0,338;0,339;0,323;0,338;0,335;1280409;428420,22;100;
2024-06-20;0,334;0,337;0,34;0,34;0,327;0,337;0,335;1918533;642300,72;127;
2024-06-19;0,333;0,334;0,325;0,339;0,32;0,334;0,329;2616807;862103,25;157;
2024-06-18;0,323;0,325;0,326;0,337;0,317;0,325;0,329;1829409;601005,21;121;
2024-06-17;0,32;0,321;0,33;0,34;0,30;0,321;0,321;5839333;1875160,48;218;
2024-06-14;0,324;0,328;0,33;0,33;0,313;0,328;0,323;959399;310209,69;98;
2024-06-13;0,32;0,324;0,333;0,339;0,317;0,324;0,323;1580981;511157,84;138;
2024-06-12;0,33;0,333;0,33;0,34;0,316;0,333;0,327;3303380;1078852,3;178;
2024-06-11;0,326;0,329;0,306;0,33;0,306;0,325;0,319;4024550;1284523,19;217;
2024-06-10;0,301;0,304;0,298;0,307;0,285;0,305;0,299;1621286;484718,95;158;
2024-06-07;0,296;0,297;0,297;0,309;0,295;0,298;0,299;1822999;545574,23;154;
2024-06-05;0,293;0,296;0,30;0,31;0,282;0,295;0,295;1466947;432883,31;147;
2024-06-04;0,295;0,30;0,315;0,32;0,28;0,30;0,309;3207527;989837,02;233;
2024-06-03;0,315;0,315;0,31;0,318;0,306;0,315;0,313;938570;293742,64;100;
2024-05-31;0,304;0,309;0,332;0,333;0,291;0,31;0,307;5077749;1558576,87;400;
2024-05-30;0,328;0,33;0,333;0,339;0,317;0,333;0,329;1368997;449649,62;146;
2024-05-29;0,328;0,333;0,333;0,339;0,323;0,333;0,332;2091009;694969,66;161;
2024-05-28;0,33;0,332;0,326;0,335;0,323;0,333;0,329;878233;288987,5;103;
2024-05-27;0,323;0,326;0,322;0,328;0,298;0,326;0,318;2485690;791088,69;194;
2024-05-24;0,317;0,318;0,313;0,323;0,311;0,32;0,316;2844615;899821,78;225;
2024-05-23;0,31;0,313;0,339;0,339;0,305;0,313;0,318;3512933;1116250,56;236;
2024-05-22;0,33;0,331;0,34;0,34;0,315;0,33;0,327;1681408;550383,74;169;
2024-05-21;0,332;0,333;0,33;0,34;0,327;0,333;0,332;1909468;634351,11;160;
