sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;158,10;158,30;157,40;159,90;156,10;158,60;158,324;691098;109417943,65;2582;
2024-06-24;156,50;156,70;150,00;157,40;149,50;157,20;154,362;687653;106170466;3807;
2024-06-21;144,20;144,50;144,90;146,20;143,80;145,10;145,086;1158645;168103328,65;1286;
2024-06-20;145,80;146,20;146,20;147,70;145,40;145,70;145,948;231513;33788797,6;1037;
2024-06-19;145,70;145,80;145,90;146,60;144,50;145,80;145,649;122059;17777689,35;933;
2024-06-18;145,80;146,00;146,50;146,80;144,70;146,20;145,928;110022;16054152,8;849;
2024-06-17;145,10;145,30;145,60;146,40;145,00;146,00;145,752;163146;23778645;928;
2024-06-14;144,90;145,20;145,10;146,40;144,40;145,70;145,458;238267;34658392,7;1195;
2024-06-13;145,10;145,40;145,40;145,80;144,10;145,30;144,966;156277;22654591,25;915;
2024-06-12;145,30;145,50;142,40;145,90;141,70;145,50;144,696;152794;22109296;848;
2024-06-11;142,20;142,30;145,80;147,00;141,60;142,00;143,341;232514;33342301,65;1622;
2024-06-10;144,00;144,30;144,10;147,20;143,50;144,50;144,793;207431;30034107,25;1377;
2024-06-07;143,70;143,90;140,80;144,30;139,80;143,70;143,183;296538;42459308,8;1687;
2024-06-06;140,70;140,80;145,20;146,40;139,50;141,50;141,821;425353;60333896,65;2926;
2024-06-04;140,40;140,60;153,30;153,30;139,80;141,60;142,915;1309994;187144471,95;6136;
2024-06-03;152,40;152,60;156,60;156,60;151,00;152,90;153,262;391832;60068290,4;1939;
2024-05-31;152,40;152,90;149,90;153,90;148,50;152,60;151,954;427750;64989954,95;1457;
2024-05-30;149,80;150,10;150,90;152,70;149,50;150,20;150,692;290387;43704679,75;1281;
2024-05-29;150,70;151,00;153,00;153,00;150,60;151,40;151,558;139962;21212322,15;846;
2024-05-28;153,20;153,40;152,90;154,90;152,60;153,10;153,624;143011;21970654,45;924;
2024-05-27;153,10;153,40;154,30;155,10;152,80;153,00;153,459;130939;20095294,75;745;
2024-05-24;154,10;154,40;154,80;155,50;153,70;154,30;154,412;116430;17981307,3;678;
2024-05-23;154,80;155,10;158,00;158,90;154,80;155,00;155,961;183548;28623103,75;922;
2024-05-22;157,90;158,10;154,90;158,80;153,80;158,30;157,444;230921;36357117,2;1451;
2024-05-21;154,50;154,80;152,00;155,10;151,70;154,90;154,161;161697;24922858,2;1090;
2024-05-17;152,20;152,40;155,00;155,40;151,20;152,00;152,747;187928;28705504,5;1078;
2024-05-16;155,60;155,80;155,30;156,70;154,10;155,90;155,605;212213;33015804,65;1171;
2024-05-15;155,20;155,40;154,90;156,40;151,30;155,20;154,344;301166;46454356,4;1454;
2024-05-14;153,70;154,00;153,50;155,60;151,90;154,50;154,264;253312;39083333,65;1375;
2024-05-13;152,80;153,00;152,40;153,50;148,90;153,30;152,223;420959;64075668,65;2073;
2024-05-08;153,00;153,40;152,50;154,70;151,60;153,30;153,236;281316;43104633,1;1317;
2024-05-07;153,20;153,50;152,40;156,50;151,50;153,50;154,053;433376;66764189;2503;
2024-05-06;152,20;152,50;148,60;153,20;144,00;152,40;149,151;445050;66358935,1;2804;
2024-05-03;147,10;147,40;143,50;156,80;143,50;148,80;150,471;1918631;288461263,75;8209;
2024-05-02;130,80;131,00;133,80;137,50;127,00;131,00;131,732;412774;54369054,55;2040;
2024-05-01;130,80;131,10;130,50;131,20;129,50;131,20;130,625;50726;6625833,7;530;
2024-04-30;130,50;130,70;130,80;131,70;129,70;130,50;130,507;144599;18871186,1;927;
2024-04-29;130,20;130,30;130,00;131,90;128,00;130,80;129,901;178326;23138781,95;1852;
2024-04-26;129,80;130,00;125,00;130,00;125,00;130,00;128,151;295748;37889578,25;1625;
2024-04-25;124,30;124,50;126,50;126,50;123,80;124,40;125,066;129398;16188053,3;818;
2024-04-24;126,50;126,70;128,80;128,80;126,00;126,50;126,934;208450;26466619,95;1392;
2024-04-23;128,30;128,50;127,90;129,80;126,20;128,70;128,425;246240;31602662,51;1682;
2024-04-22;127,40;127,60;125,00;128,00;124,70;127,50;126,493;229802;29059465,9;1204;
2024-04-19;125,40;125,50;124,00;126,10;122,90;125,60;125,333;148646;18634619,2;1020;
2024-04-18;125,90;126,00;126,20;127,60;123,40;125,60;125,735;185929;23380175,15;1122;
2024-04-17;126,30;126,50;127,30;128,10;125,40;126,20;126,642;126778;16055749,15;739;
2024-04-16;127,50;127,80;127,60;129,10;126,10;127,30;127,844;233099;29801597,8;1216;
2024-04-15;128,30;128,50;124,60;129,00;124,60;128,60;127,871;194181;24832866,8;1028;
2024-04-12;124,60;124,70;127,50;129,80;124,60;124,60;127,763;220043;28129737,05;1174;
2024-04-11;125,90;126,10;123,90;126,60;122,90;126,00;125,338;223541;28017906,55;1105;
2024-04-10;123,70;123,90;122,90;124,20;122,20;123,80;123,661;170799;21108961,35;903;
