sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;;;67,50;69,30;67,50;69,30;69,22;1621;111778,85;4;
2024-06-24;67,50;;65,50;68,00;65,50;68,00;66,16;400;26463,8;11;
2024-06-21;60,00;;;;;63,00;;;;0;
2024-06-20;60,00;;;;;63,00;;;;0;
2024-06-19;60,00;;;;;63,00;;;;0;
2024-06-18;60,00;;63,80;63,80;63,00;63,00;63,732;1093;69659;2;
2024-06-17;60,00;63,80;;;;61,90;;;;0;
2024-06-14;60,00;63,80;;;;61,90;;;;0;
2024-06-13;60,00;;;;;61,90;;;;0;
2024-06-12;60,00;;;;;61,90;;;;0;
2024-06-11;60,00;;61,90;61,90;61,90;61,90;61,90;268;16589,2;2;
2024-06-10;60,00;;;;;64,50;;;;0;
2024-06-07;60,00;;;;;64,50;;;;0;
2024-06-06;60,00;;;;;64,50;;;;0;
2024-06-05;60,00;;;;;64,50;;;;0;
2024-06-04;60,00;;;;;64,50;;;;0;
2024-06-03;60,00;;;;;64,50;;;;0;
2024-05-31;60,00;;64,50;64,50;64,50;64,50;64,50;1000;64500;1;
2024-05-30;60,00;;;;;64,80;;;;0;
2024-05-29;60,00;;64,90;64,90;64,80;64,80;64,856;1350;87555;2;
2024-05-28;60,00;;;;;63,10;;;;0;
2024-05-27;60,00;;;;;63,10;;;;0;
2024-05-24;60,00;;;;;63,10;;;;0;
2024-05-23;61,50;;63,10;63,10;63,10;63,10;63,10;200;12620;1;
2024-05-22;57,00;;60,00;60,00;59,60;59,60;59,714;700;41800;2;
2024-05-21;54,50;;55,90;56,30;55,40;56,10;55,876;1667;93144,7;7;
2024-05-16;55,30;;;;;53,00;;;;0;
2024-05-15;54,40;;;;;53,00;;;;0;
2024-05-14;51,00;;;;;53,00;;;;0;
2024-05-13;51,00;;53,00;53,00;53,00;53,00;53,00;509;27429,7;2;
2024-05-10;51,00;;;;;53,80;;;;0;
2024-05-08;51,00;;;;;53,80;;;;0;
2024-05-07;51,00;;;;;53,80;;;;0;
2024-05-06;51,00;;53,80;53,80;53,80;53,80;53,80;527;28352,6;2;
2024-05-03;51,00;53,80;;;;51,20;;994;52682;2;
2024-05-02;51,00;53,80;52,00;52,00;51,20;51,20;51,44;1000;51440;5;
2024-04-30;51,20;;52,90;53,20;52,90;53,20;53,135;893;47449,7;4;
2024-04-29;51,00;;;;;52,00;;;;0;
2024-04-26;51,00;;52,00;52,00;52,00;52,00;52,00;200;10400;1;
2024-04-25;51,00;;52,00;52,00;51,40;51,40;51,51;1750;90142;4;
2024-04-24;50,00;;50,60;51,10;50,00;51,00;50,55;4848;245064;12;
2024-04-23;;51,90;;;;49,85;;;;0;
2024-04-22;;51,90;;;;49,85;;;;0;
2024-04-19;;51,90;;;;49,85;;;;0;
2024-04-18;;51,90;49,85;49,85;49,85;49,85;49,85;938;46759,3;9;
2024-04-17;49,85;51,90;;;;51,50;;;;0;
2024-04-16;49,85;51,90;;;;51,50;;;;0;
2024-04-15;49,85;51,90;49,85;51,50;49,85;51,50;50,223;90;4520,1;3;
2024-04-12;51,20;;53,10;53,10;53,10;53,10;53,10;62;3292,2;1;
2024-04-11;49,85;;;;;51,00;;;;0;
2024-04-10;;;;;;51,00;;;;0;
2024-04-09;;;51,00;51,00;51,00;51,00;51,00;45;2295;1;
2024-04-08;;;51,40;51,40;51,00;51,00;51,067;120;6128;2;
2024-04-05;51,00;;;;;51,00;;;;0;
2024-04-04;;;51,00;51,00;51,00;51,00;51,00;1000;51000;1;
2024-04-03;;;;;;51,20;;;;0;
2024-04-02;;;51,20;51,20;51,20;51,20;51,20;750;38400;1;
2024-03-27;;57,00;;;;51,10;;;;0;
2024-03-26;;;50,35;51,10;50,35;51,10;50,65;25;1266,25;2;
2024-03-25;;;;;;46,48;;;;0;
2024-03-22;;;;;;46,48;;;;0;
2024-03-21;;;;;;46,48;;;;0;
2024-03-20;;;;;;46,48;;;;0;
2024-03-19;;;;;;46,48;;;;0;
2024-03-18;;;;;;46,48;;;;0;
2024-03-15;;;;;;46,48;;;;0;
2024-03-14;42,20;;;;;46,48;;;;0;
2024-03-13;;;;;;46,48;;;;0;
2024-03-12;;;;;;46,48;;;;0;
2024-03-11;;;46,48;46,48;46,48;46,48;46,48;2250;104580;2;
2024-03-08;;;;;;46,80;;;;0;
2024-03-07;;;;;;46,80;;;;0;
2024-03-06;;;;;;46,80;;;;0;
2024-03-05;;;;;;46,80;;;;0;
2024-03-04;;;47,18;47,24;46,80;46,80;47,10;14757;695060,68;19;
2024-03-01;;46,98;;;;46,02;;;;0;
2024-02-29;;46,02;46,06;46,06;46,02;46,02;46,052;9243;425662,58;35;
2024-02-28;;;;;;43,88;;;;0;
2024-02-27;;;;;;43,88;;;;0;
2024-02-26;;;43,88;43,88;43,88;43,88;43,88;1000;43880;1;
2024-02-23;42,00;;;;;44,14;;;;0;
2024-02-22;44,08;;44,02;44,14;43,94;44,14;44,033;40100;1765729,52;102;
2024-02-21;42,00;;44,00;44,10;44,00;44,10;44,004;1036;45587,6;3;
2024-02-20;44,00;44,82;;;;44,50;;;;0;
2024-02-19;42,50;;44,50;44,50;44,50;44,50;44,50;1000;44500;2;
