sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;307,80;308,20;311,20;311,80;305,80;308,40;308,294;220156;67865860,9;1393;
2024-06-24;311,60;312,00;304,40;313,00;302,80;313,00;311,049;230702;71750975,6;1298;
2024-06-21;304,80;305,00;306,20;306,60;302,00;305,40;304,888;378317;115330097,7;1894;
2024-06-20;306,40;306,60;312,40;312,60;305,20;306,80;307,686;389354;119817459,3;2438;
2024-06-19;313,80;314,00;312,80;316,00;310,80;313,20;313,22;223342;69945230,3;1036;
2024-06-18;313,40;313,80;323,40;324,20;312,60;312,80;314,987;261809;82501334,2;1764;
2024-06-17;319,00;319,40;326,40;326,40;317,60;319,40;320,227;326794;104682837,3;1811;
2024-06-14;326,60;326,80;330,60;330,60;325,40;326,40;327,277;108001;35346698,9;794;
2024-06-13;330,60;331,00;337,80;342,80;329,80;329,80;332,148;271175;90154151,2;1451;
2024-06-12;338,20;338,60;326,00;339,20;323,80;339,00;335,999;273481;91891784,9;1430;
2024-06-11;326,80;327,40;326,20;329,00;323,60;326,60;326,441;177845;58058098,3;1372;
2024-06-10;326,40;326,80;333,40;334,00;324,80;326,20;328,007;173451;56896665,3;1447;
2024-06-07;333,80;334,20;332,20;337,00;332,20;334,00;334,304;134350;44915214,2;989;
2024-06-06;332,00;332,40;332,80;337,60;331,60;332,20;333,896;224741;75060320,8;1649;
2024-06-04;326,00;326,40;324,60;328,80;323,60;326,00;325,997;210666;68669965,32;1056;
2024-06-03;324,20;324,60;330,00;330,00;323,20;323,60;324,512;334188;108488699,52;1431;
2024-05-31;328,00;328,20;325,00;329,00;324,00;329,00;328,596;882990;290068551,03;2211;
2024-05-30;325,60;326,00;327,00;329,20;325,20;326,00;326,623;216721;70797342,38;1378;
2024-05-29;325,80;326,20;326,00;327,60;323,80;326,00;325,672;270574;88102483,68;1404;
2024-05-28;325,60;326,00;334,80;335,40;325,20;326,60;327,876;330257;108301042,92;1939;
2024-05-27;334,80;335,20;326,80;335,40;326,40;335,00;333,314;172284;57410212,76;1226;
2024-05-24;329,40;329,80;326,60;330,20;326,00;328,60;328,313;515851;169337498,73;1936;
2024-05-23;329,80;330,00;330,60;331,80;327,80;329,80;329,504;394188;129897052,48;1520;
2024-05-22;331,40;331,60;334,20;334,60;328,40;330,60;330,862;373366;123537092,12;2516;
2024-05-21;335,80;336,20;341,20;350,00;334,00;335,00;337,417;481879;162640620,4;2915;
2024-05-17;336,00;336,40;329,60;337,40;329,00;335,00;334,402;325140;108690450,12;1850;
2024-05-16;330,60;331,00;326,00;333,00;324,80;331,00;329,983;290919;95944291,76;1417;
2024-05-15;325,20;325,40;322,80;328,00;321,20;325,80;324,665;412788;133992055,24;1275;
2024-05-14;322,60;323,20;322,40;328,40;322,00;323,20;324,511;357581;116107099,63;2189;
2024-05-13;322,20;322,80;329,60;331,40;318,20;321,60;322,483;3085487;999581349,37;1746;
2024-05-08;319,80;320,20;319,80;328,60;319,80;320,40;322,301;284068;91575673,6;1942;
2024-05-07;321,60;321,80;316,20;322,60;313,00;320,40;319,998;332966;106551352,1;2496;
2024-05-06;312,80;313,20;312,00;316,00;307,60;313,00;312,652;425267;132968308,7;3166;
2024-05-03;325,80;326,40;325,60;329,80;324,00;324,80;326,032;215000;70110429,64;1245;
2024-05-02;326,00;326,20;326,00;330,00;323,60;325,00;326,003;265188;86452666,1;1673;
2024-05-01;321,40;321,80;336,40;336,40;320,40;321,00;328,238;318557;104554291,1;960;
2024-04-30;337,40;337,80;342,20;342,20;333,40;336,40;336,571;275023;92565070,4;1095;
2024-04-29;340,20;340,40;327,80;341,00;327,80;341,00;338,488;396810;134229812,4;1729;
2024-04-26;325,00;325,20;317,20;326,60;317,20;326,60;325,311;259225;84320369,3;1352;
2024-04-25;315,60;316,00;320,00;320,80;314,80;316,20;316,783;191383;60650274,5;901;
2024-04-24;319,80;320,20;323,60;323,60;319,80;320,80;321,118;149634;48057763,4;852;
2024-04-23;321,60;321,80;320,80;322,80;318,60;322,80;321,939;255633;82289984,8;1546;
