sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;1088,00;1089,00;1080,00;1092,50;1072,00;1090,50;1087,89;240770;261909480,75;2988;
2024-06-24;1073,00;1074,00;1058,50;1077,50;1048,00;1074,00;1070,122;186822;199928732,75;2285;
2024-06-21;1058,50;1059,00;1073,00;1078,00;1051,00;1059,00;1059,306;576184;610360571,25;3242;
2024-06-20;1062,50;1063,00;1062,50;1077,00;1051,50;1064,50;1064,632;155258;165252777,25;2263;
2024-06-19;1061,00;1062,00;1073,50;1074,50;1047,50;1060,50;1058,568;348637;369044043,25;4277;
2024-06-18;1082,50;1083,00;1085,00;1085,00;1076,00;1082,00;1081,46;209541;226610629,45;2603;
2024-06-17;1075,00;1076,00;1082,50;1084,50;1071,50;1075,50;1076,448;242247;260768895;3092;
2024-06-14;1084,50;1085,00;1113,00;1120,50;1081,50;1081,50;1091,317;471407;514547574,65;5329;
2024-06-13;1111,50;1113,00;1096,00;1127,00;1091,00;1112,50;1112,627;309799;344667732,75;4027;
2024-06-12;1101,00;1101,50;1097,50;1105,00;1075,50;1100,50;1095,526;273973;300099652;3820;
2024-06-11;1100,50;1101,50;1115,00;1115,00;1079,00;1097,00;1094,412;382035;418075888,5;4673;
2024-06-10;1115,00;1116,00;1100,00;1117,00;1092,00;1116,50;1113,599;236508;263373209,5;2894;
2024-06-07;1106,50;1107,50;1105,00;1115,00;1097,50;1109,50;1108,23;399278;442500223,75;4228;
2024-06-06;1096,00;1097,00;1081,00;1114,50;1075,00;1103,00;1098,504;762164;837275153,2;8035;
2024-06-04;1049,00;1050,00;1052,50;1072,00;1047,50;1053,00;1054,408;255235;269150528,75;3365;
2024-06-03;1044,00;1044,50;1060,00;1066,50;1041,50;1042,00;1048,17;272597;285842463;3244;
2024-05-31;1046,00;1046,50;1012,00;1054,00;1012,00;1054,00;1052,93;2478847;2609782105,5;5215;
2024-05-30;1013,50;1015,00;1018,00;1023,50;1008,50;1016,00;1015,75;304572;309365898,5;3362;
2024-05-29;1026,50;1027,00;1041,00;1042,00;1023,00;1025,50;1027,712;394573;405550482,75;3632;
2024-05-28;1045,50;1046,00;1042,00;1050,00;1041,00;1046,00;1045,495;154783;161824103;2065;
2024-05-27;1040,50;1041,00;1039,50;1044,00;1029,00;1044,00;1038,356;222528;231015027,25;2684;
2024-05-24;1044,00;1044,50;1055,50;1065,50;1042,00;1044,50;1046,432;279457;292463140;2761;
2024-05-23;1061,00;1062,50;1043,50;1062,50;1041,50;1061,50;1057,749;420409;444585881;3654;
2024-05-22;1043,00;1044,00;1036,00;1050,00;1027,50;1043,50;1041,047;213637;222404649,25;2637;
2024-05-21;1042,00;1043,00;1058,50;1059,50;1035,50;1045,00;1044,847;392164;409727481,25;4675;
2024-05-17;1060,50;1061,00;1066,50;1069,50;1058,00;1058,00;1060,628;200026;212157308;2433;
2024-05-16;1065,50;1066,50;1054,00;1070,00;1051,50;1070,00;1067,697;312163;333287453;2808;
2024-05-15;1054,00;1055,00;1048,00;1056,00;1037,00;1055,00;1051,996;428426;450664739,35;3422;
2024-05-14;1046,50;1047,00;1035,00;1062,00;1035,00;1044,50;1046,402;978606;1024337390,78;4965;
2024-05-13;1038,00;1039,00;1050,00;1054,00;1028,50;1039,00;1039,552;1093211;1135606951,66;7478;
2024-05-08;1017,50;1018,00;1016,50;1020,00;1009,50;1018,50;1016,981;352176;358016485,75;2327;
2024-05-07;1015,00;1016,00;1009,50;1022,50;1006,00;1016,50;1016,002;466567;473968226,5;3324;
2024-05-06;996,20;997,00;982,80;999,60;982,80;999,60;994,625;246659;245322463,6;2557;
2024-05-03;983,20;983,80;984,00;991,60;980,40;982,80;983,281;303038;298020588,6;2778;
2024-05-02;983,60;984,00;991,00;997,20;981,60;982,20;984,827;310163;305560900,5;3159;
2024-05-01;990,60;990,80;996,00;1006,50;986,20;990,60;992,881;202368;200865295,09;2250;
2024-04-30;999,80;1000,50;1017,00;1025,00;995,20;997,80;1000,953;478486;478908480,25;6226;
2024-04-29;1018,00;1019,00;1033,00;1041,00;1009,50;1016,00;1017,79;459072;467232046,25;4983;
