sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;14,39;14,40;14,47;14,535;14,36;14,47;14,465;1192684;17252162,47;2062;
2024-06-24;14,485;14,51;14,51;14,585;14,25;14,47;14,446;1594040;23035311,37;3909;
2024-06-20;14,625;14,635;14,305;14,705;14,25;14,67;14,648;3298738;48319178,45;2871;
2024-06-19;14,25;14,27;14,30;14,38;14,20;14,305;14,296;917078;13110100,64;1422;
2024-06-18;14,325;14,33;14,185;14,335;14,055;14,31;14,278;1213672;17327437,81;2631;
2024-06-17;14,17;14,18;14,12;14,225;14,075;14,185;14,176;1411011;20000848,77;2256;
2024-06-14;14,095;14,11;14,25;14,265;13,87;14,20;14,163;2035547;28827334,57;3604;
2024-06-13;14,205;14,24;14,16;14,265;14,035;14,22;14,183;1572020;22291316,59;3006;
2024-06-12;14,16;14,17;14,16;14,26;13,975;14,16;14,152;1355458;19179708,03;3192;
2024-06-11;14,13;14,14;13,99;14,16;13,95;14,16;14,114;1629006;22982946,84;3165;
2024-06-10;13,94;13,95;13,81;13,99;13,715;13,99;13,927;1178212;16406321,29;2464;
2024-06-07;13,81;13,82;13,925;13,975;13,585;13,88;13,85;1337633;18520532,36;3459;
2024-06-06;13,96;13,985;13,955;14,04;13,83;13,955;13,952;1141080;15920503,72;2362;
2024-06-05;13,965;13,975;13,93;14,04;13,87;13,955;13,951;1323657;18465530,54;2636;
2024-06-04;14,05;14,06;14,195;14,30;13,985;14,055;14,076;1554197;21876085,28;3397;
2024-06-03;14,20;14,21;14,015;14,28;14,01;14,19;14,183;1613285;22881363,65;2753;
2024-05-31;14,03;14,035;14,105;14,18;13,99;14,015;14,023;4221915;59207974,86;3762;
2024-05-30;14,105;14,115;13,96;14,165;13,955;14,085;14,078;957990;13486073,45;2643;
2024-05-29;14,015;14,03;14,025;14,09;13,93;14,085;14,059;1360041;19120048,6;2931;
2024-05-28;14,065;14,07;14,155;14,315;14,005;14,10;14,152;1244252;17608187,34;2867;
2024-05-27;14,115;14,125;13,94;14,17;13,84;14,155;14,101;969380;13668909,67;2574;
2024-05-24;13,965;13,97;14,125;14,22;13,825;13,97;13,993;1951099;27302715,18;5166;
2024-05-23;14,335;14,345;14,425;14,57;14,225;14,39;14,379;1994159;28675259,16;4187;
2024-05-22;14,425;14,435;14,745;14,745;14,28;14,43;14,489;2439133;35395882,87;4887;
2024-05-21;14,685;14,695;14,615;14,745;14,545;14,745;14,678;3145526;46153840,1;4459;
2024-05-20;14,615;14,62;14,635;14,715;14,52;14,585;14,60;2797671;40849404,14;3665;
2024-05-17;14,605;14,615;14,40;14,66;14,32;14,635;14,57;3643805;53079813,03;6473;
2024-05-16;14,505;14,515;14,06;14,565;14,04;14,56;14,439;3715728;53640767,84;6609;
2024-05-15;13,965;13,98;13,905;14,055;13,85;13,985;13,973;2024579;28287546,84;4051;
2024-05-14;13,87;13,88;13,635;13,98;13,62;13,88;13,834;2277987;31513001,86;5321;
2024-05-13;13,62;13,625;13,495;13,65;13,37;13,63;13,593;1958463;26618959,67;3157;
2024-05-10;13,48;13,49;13,20;13,74;13,20;13,405;13,487;3477044;46897143,81;6265;
2024-05-08;13,115;13,125;13,28;13,34;12,965;13,11;13,115;1845760;24204922,77;4243;
2024-05-07;13,25;13,26;13,18;13,315;13,14;13,28;13,258;1457087;19317692,56;2349;
2024-05-06;13,13;13,14;12,98;13,185;12,935;13,125;13,101;1159524;15191129,82;3131;
2024-05-03;12,96;12,97;12,95;13,195;12,875;12,96;13,001;1826747;23749198,83;4742;
2024-05-02;12,865;12,875;12,455;12,94;12,38;12,875;12,798;3068810;39278671,24;6396;
2024-04-30;12,25;12,275;12,935;13,10;12,23;12,38;12,541;3904303;48987381,95;8471;
2024-04-29;12,35;12,36;12,055;12,40;12,055;12,36;12,318;1977211;24354514,76;3644;
