sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;200,30;200,60;201,40;203,70;200,00;200,70;201,378;432546;87084510,71;2096;
2024-06-24;202,50;202,60;205,00;206,10;202,00;202,40;202,985;434243;88173356,8;1668;
2024-06-21;204,50;204,70;209,30;211,20;202,10;204,70;205,405;554969;113984514;2915;
2024-06-20;209,50;209,70;206,90;211,80;206,30;209,60;209,843;497173;104329807,85;1766;
2024-06-19;205,90;206,20;204,90;207,00;204,70;206,70;206,109;202432;41719012,95;1019;
2024-06-18;204,30;204,50;208,00;209,00;201,40;204,90;204,385;443872;90713782,3;2404;
2024-06-17;206,80;207,40;208,10;210,00;205,20;207,10;207,257;389173;80665912,7;1898;
2024-06-14;207,80;208,00;217,60;218,30;207,30;208,10;210,114;765893;160993502,65;3231;
2024-06-13;217,40;218,10;221,30;224,00;218,00;218,10;220,039;345867;76079881,3;1568;
2024-06-12;222,60;222,90;214,50;223,50;213,80;222,70;219,838;691595;152051210,7;3280;
2024-06-11;214,10;214,30;224,50;225,90;202,10;214,50;212,139;2323236;492665486,9;10373;
2024-06-10;222,70;222,90;221,60;224,80;220,40;223,80;223,00;362259;80771070,9;1651;
2024-06-07;221,60;222,00;224,20;225,10;220,40;221,80;222,418;311153;69213953,2;1869;
2024-06-06;223,50;223,90;220,90;227,90;219,60;224,20;224,337;561693;125996227,8;2715;
2024-06-04;217,30;217,60;223,10;225,60;216,40;217,70;219,245;471129;103317162,05;2223;
2024-06-03;222,50;222,80;220,50;225,60;219,40;223,30;223,175;742144;165579761,95;3292;
2024-05-31;216,50;216,60;214,80;217,20;213,70;217,20;216,605;655493;141935109,1;1876;
2024-05-30;215,50;215,70;213,70;217,40;210,50;215,50;215,136;368111;79186967,6;1749;
2024-05-29;214,70;214,80;220,70;220,70;214,50;214,60;215,954;473666;102289834,7;2278;
2024-05-28;221,00;221,50;223,00;223,00;218,60;221,80;221,102;412684;91222719,45;1936;
2024-05-27;222,00;222,30;222,00;223,40;218,30;222,30;221,277;277185;61335632,5;1515;
2024-05-24;220,30;220,60;218,80;222,80;217,10;221,20;221,329;595299;131796057,7;2528;
