sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;3,72;3,78;3,58;3,70;3,50;3,70;3,579;34951;125077,54;25;
2024-06-24;3,56;3,64;3,76;3,86;3,66;3,66;3,719;20175;75022,24;16;
2024-06-21;3,78;3,88;3,94;3,94;3,84;3,84;3,896;6869;26763,86;3;
2024-06-20;3,94;4,00;4,06;4,06;4,00;4,00;4,02;5500;22110,76;4;
2024-06-19;4,06;4,14;4,28;4,28;4,08;4,08;4,156;10327;42916,8;7;
2024-06-18;4,14;4,26;4,34;4,34;4,26;4,26;4,275;4257;18196,98;3;
2024-06-17;4,34;4,40;4,44;4,44;4,40;4,40;4,405;3557;15667,44;5;
2024-06-14;4,42;4,56;;;;4,44;;;;0;
2024-06-13;4,42;4,56;4,46;4,46;4,44;4,44;4,446;2135;9493,04;2;
2024-06-12;4,46;4,60;;;;4,46;;;;0;
2024-06-11;4,46;4,60;4,52;4,52;4,32;4,46;4,468;17394;77718,16;14;
2024-06-10;4,58;4,62;;;;4,70;;;;0;
2024-06-07;4,56;4,62;4,62;4,70;4,62;4,70;4,643;890;4131,8;2;
2024-06-06;4,50;4,62;4,54;4,62;4,50;4,50;4,527;510;2308,88;3;
2024-06-04;4,46;4,52;4,54;4,54;4,54;4,54;4,54;200;908;2;
2024-06-03;4,54;4,70;5,00;5,00;4,50;4,56;4,733;18726;88631,86;14;
2024-05-31;5,00;5,15;5,15;5,15;5,00;5,15;5,057;10678;53993,15;7;
2024-05-30;5,15;5,30;5,35;5,35;5,25;5,30;5,315;10166;54036,05;8;
2024-05-29;5,20;5,40;5,20;5,25;5,05;5,25;5,244;2173;11395,65;3;
2024-05-28;5,00;5,15;5,05;5,05;5,00;5,00;5,045;500;2522,3;2;
2024-05-27;5,00;5,15;4,92;5,15;4,92;5,15;4,979;761;3788,66;3;
2024-05-24;4,92;5,10;5,15;5,15;5,15;5,15;5,15;5419;27907,85;5;
2024-05-23;5,15;5,30;5,30;5,30;5,30;5,30;5,30;2200;11660;1;
2024-05-22;5,15;5,35;5,45;5,45;5,30;5,30;5,402;7500;40515,95;5;
2024-05-21;5,25;5,40;5,35;5,50;5,15;5,40;5,335;20245;108014;10;
2024-05-17;5,10;5,25;4,82;5,65;4,82;5,25;5,129;50864;260861,82;25;
2024-05-16;4,70;4,82;4,76;4,82;4,76;4,82;4,762;3484;16589,84;2;
2024-05-15;4,64;4,76;4,64;4,78;4,60;4,76;4,641;3982;18479,92;10;
2024-05-14;4,64;4,80;4,64;4,64;4,64;4,64;4,64;493;2287,52;3;
2024-05-13;4,64;4,82;;;;4,82;;;;0;
2024-05-08;4,68;4,84;4,88;4,88;4,64;4,82;4,712;1807;8515,3;10;
2024-05-07;4,70;4,86;4,92;4,98;4,92;4,94;4,931;8007;39483,76;5;
2024-05-06;4,76;4,88;5,00;5,40;4,76;4,76;5,095;59656;303941,08;31;
2024-05-03;4,86;4,94;4,16;4,94;4,16;4,94;4,679;48683;227789,96;24;
2024-05-02;4,04;4,16;3,82;4,18;3,82;4,14;3,962;15348;60812,72;12;
2024-05-01;3,76;3,82;3,70;3,82;3,70;3,76;3,737;29202;109123,16;11;
2024-04-30;3,70;3,84;3,46;4,00;3,46;3,82;3,738;35880;134124,28;18;
2024-04-29;3,40;3,50;3,44;3,48;3,30;3,48;3,41;15565;53075,24;11;
2024-04-26;3,50;3,56;3,54;3,54;3,54;3,54;3,54;4094;14492,76;2;
2024-04-25;3,46;3,58;3,60;3,60;3,50;3,54;3,522;7574;26672,2;6;
2024-04-24;3,52;3,58;3,58;3,58;3,58;3,58;3,58;298;1066,84;1;
2024-04-23;3,46;3,56;3,50;3,50;3,50;3,50;3,50;825;2887,5;2;
2024-04-22;3,54;3,62;3,64;3,64;3,64;3,64;3,64;4855;17672,2;2;
2024-04-19;3,64;3,76;3,66;3,66;3,66;3,66;3,66;368;1346,88;1;
2024-04-18;3,68;3,80;3,52;3,70;3,52;3,70;3,626;11857;42990,46;7;
2024-04-17;3,52;3,64;3,62;3,62;3,56;3,56;3,577;4900;17529;4;
2024-04-16;3,62;3,74;3,26;3,54;3,26;3,54;3,406;16697;56869,26;7;
2024-04-15;3,38;3,48;3,46;3,46;3,40;3,40;3,417;1280;4373,14;3;
2024-04-12;3,44;3,56;3,52;3,52;3,44;3,44;3,475;880;3058,08;4;
2024-04-11;3,22;3,60;3,62;3,62;3,60;3,60;3,603;5000;18012,44;3;
2024-04-10;3,62;3,70;3,64;3,64;3,62;3,62;3,628;598;2169,42;3;
2024-04-09;3,62;3,70;;;;3,70;;;;0;
2024-04-08;3,62;3,68;3,70;3,70;3,70;3,70;3,70;430;1591;1;
2024-04-05;3,68;3,80;3,92;3,92;3,68;3,68;3,786;10260;38839,16;7;
2024-04-04;3,96;4,06;3,96;3,96;3,96;3,96;3,96;3142;12442,32;2;
2024-04-03;3,86;3,98;3,76;3,94;3,76;3,94;3,842;7697;29570,08;8;
2024-04-02;3,74;3,88;3,88;3,88;3,86;3,88;3,878;6686;25927,44;4;
2024-03-27;3,90;4,00;3,94;3,94;3,90;3,90;3,931;2577;10130,3;2;
2024-03-26;3,92;4,02;4,00;4,02;3,94;3,94;4,003;11129;44545,62;6;
2024-03-25;3,88;4,02;3,98;4,14;3,98;4,02;4,038;10609;42835,82;6;
