sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;1025,80;1026,20;990,00;1028,00;987,30;1028,00;1017,695;3196943;3252729177,1;26351;
2024-06-24;988,10;988,50;988,00;995,80;982,00;988,40;987,998;1647250;1627353795;13325;
2024-06-21;990,30;990,60;983,20;993,60;978,60;987,90;987,46;4624522;4566540172,65;14080;
2024-06-20;991,50;991,90;985,00;993,80;979,60;993,80;991,206;1892064;1875188877,9;12612;
2024-06-19;982,80;983,00;973,70;984,90;972,40;984,20;982,119;1225962;1203987567,25;12105;
2024-06-18;980,80;981,20;980,00;983,70;972,80;981,20;980,44;2019980;1980435044,3;13937;
2024-06-17;983,90;984,10;991,00;995,40;980,50;980,50;982,968;2299629;2260549839,2;15839;
2024-06-14;992,50;993,00;984,70;996,90;977,00;991,00;988,953;2230542;2205600572,4;18808;
2024-06-13;980,60;981,10;991,20;993,10;979,70;979,70;982,868;1849236;1817568297,25;12715;
2024-06-12;989,50;989,60;984,00;993,50;981,80;989,60;988,311;1875917;1854078894,1;16582;
2024-06-11;984,90;985,00;992,00;997,40;979,20;982,00;984,48;2681162;2639551431,6;21213;
2024-06-10;987,40;987,90;979,00;991,30;979,00;988,40;986,964;1956865;1931362398,15;18158;
2024-06-07;983,10;983,30;973,30;990,90;969,00;984,00;981,128;2457952;2411207835,85;23864;
2024-06-06;971,40;972,00;968,00;974,50;960,60;973,30;970,416;3883931;3768967802,25;27696;
2024-06-04;936,00;936,20;928,50;939,60;923,40;936,20;933,799;2134460;1993109653,75;18124;
2024-06-03;923,50;924,00;919,70;930,20;913,40;923,90;922,28;2360259;2176774182,55;23473;
2024-05-31;928,00;928,40;913,50;931,60;908,80;927,30;926,717;5539486;5133419374,1;18143;
2024-05-30;918,40;918,80;921,00;931,00;916,90;916,90;921,085;2132021;1963866808,7;15604;
2024-05-29;913,40;913,60;908,50;915,00;906,40;911,50;910,825;2491686;2269416923,75;21874;
2024-05-28;914,90;915,00;920,40;925,30;911,60;915,70;917,437;2086119;1913944056,85;21570;
2024-05-27;920,40;920,70;928,00;929,50;917,00;919,70;922,355;1129526;1041837399,4;11065;
2024-05-24;930,30;930,60;937,40;940,70;922,80;928,80;930,407;1881967;1751199281,95;18450;
2024-05-23;935,90;936,30;923,90;942,60;921,90;937,40;936,655;2333021;2185337316,3;21821;
2024-05-22;921,10;921,50;927,60;928,50;902,40;923,00;919,035;3106667;2854911212,6;25592;
2024-05-21;924,10;924,30;903,00;928,90;900,00;927,20;920,292;2721293;2503953300,2;23707;
2024-05-17;902,10;902,40;911,00;919,00;901,10;903,30;905,381;2115167;1915088735,2;18315;
2024-05-16;913,50;913,90;912,00;921,50;883,20;912,90;909,414;3350700;3044976935,85;28941;
2024-05-15;915,90;916,80;919,40;924,00;908,50;917,10;917,357;2120311;1945041519,5;20143;
2024-05-14;905,50;905,60;920,20;927,00;904,30;910,00;914,667;3118148;2852297860,15;28435;
2024-05-13;905,60;905,80;900,00;909,90;891,00;909,90;905,317;4150455;3757188458;31176;
2024-05-08;884,10;885,10;890,40;894,60;881,60;883,20;885,965;2737501;2425228044,85;21380;
2024-05-07;879,80;880,20;864,50;882,60;857,10;882,60;877,45;9320634;8068531826,85;20730;
2024-05-06;851,10;851,90;850,90;858,50;839,30;851,40;850,709;1874622;1594768731;21982;
2024-05-03;851,40;851,70;859,80;859,80;826,70;850,60;845,951;5692030;4815216608,1;68118;
2024-05-02;871,50;872,60;912,20;912,80;865,70;873,10;880,544;4750846;4183503471,35;52004;
2024-05-01;897,70;898,10;889,00;899,30;872,10;897,70;889,069;1825419;1623325011,65;20966;
2024-04-30;904,50;904,80;879,70;916,90;869,40;902,60;897,946;4324631;3883415114,15;40517;
2024-04-29;884,70;884,90;886,60;895,00;879,70;884,80;885,88;1796260;1591295494,6;16721;
2024-04-26;884,30;884,60;874,50;886,60;867,30;886,60;881,729;2082169;1835901098,33;17633;
2024-04-25;864,60;865,00;876,10;876,10;853,30;866,80;864,161;2439240;2107720137,15;27436;
2024-04-24;878,80;879,00;892,30;894,10;877,50;878,70;883,179;1877505;1658260126,8;19664;
2024-04-23;889,60;889,90;872,50;891,30;872,40;891,30;886,089;1866811;1654001372,1;16273;
2024-04-22;874,90;875,20;853,30;876,20;850,70;875,30;867,023;2031675;1760808207;18992;
2024-04-19;863,60;864,00;865,60;870,90;859,70;866,20;865,335;1938339;1677274659,9;16745;
2024-04-18;862,40;862,60;874,90;877,00;858,00;862,70;864,425;2297378;1985996681,55;14861;
2024-04-17;870,20;870,30;864,40;879,40;861,60;871,30;870,481;1469864;1279453138,6;14612;
2024-04-16;867,20;867,50;862,00;872,10;854,70;867,50;865,886;1728440;1496446716,8;17126;
2024-04-15;880,30;880,60;879,00;888,00;876,00;879,20;880,547;1814804;1598194700,9;17809;
2024-04-12;880,90;881,40;870,00;891,90;868,60;880,00;881,299;2064983;1820069147,85;21002;
