sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;430,70;431,60;432,80;436,70;427,60;432,10;431,853;596873;257752254,05;3630;
2024-06-24;434,60;434,90;437,00;439,50;432,30;432,50;433,632;651038;282326412,9;2843;
2024-06-21;437,60;437,70;441,00;445,60;434,30;438,10;438,381;1178888;516824711,7;4766;
2024-06-20;441,80;442,20;433,80;444,20;433,70;442,70;441,484;1004582;443426203,3;5578;
2024-06-19;429,10;429,20;425,00;431,50;424,30;431,20;428,858;760728;326111682,35;3529;
2024-06-18;424,70;424,80;421,60;430,10;416,70;424,80;424,529;1185461;503358508,5;6432;
2024-06-17;401,80;402,10;408,20;411,50;401,50;401,50;402,707;866516;349131310,55;3499;
2024-06-14;408,00;408,20;412,90;415,30;407,40;407,40;408,927;484045;198054138,8;2648;
2024-06-13;412,70;413,30;421,10;424,30;412,00;412,90;414,573;800517;331853473,25;3635;
2024-06-12;423,60;423,80;424,70;425,20;418,80;422,30;422,527;467004;197321680,7;2696;
2024-06-11;424,30;424,70;422,10;427,90;417,60;423,80;423,102;540342;228589172,05;3788;
2024-06-10;421,00;421,10;424,20;431,90;417,50;419,90;422,113;416657;175886481,35;3102;
2024-06-07;422,70;422,90;419,00;425,50;417,70;422,00;422,383;412361;174191692,11;2835;
2024-06-06;418,70;418,90;424,10;425,30;417,20;419,90;421,632;653504;275548018,05;4785;
2024-06-04;419,10;419,40;414,20;420,40;410,70;419,60;418,235;639745;267522213,65;3117;
2024-06-03;409,20;409,40;408,70;410,40;404,70;408,00;407,918;442328;180454230;2845;
2024-05-31;409,20;409,70;412,60;413,20;407,50;408,60;408,787;2423202;990793938,03;5572;
2024-05-30;412,40;412,50;413,20;418,10;412,30;412,30;413,423;436935;180658357,4;2846;
2024-05-29;415,50;415,60;421,60;422,00;412,90;413,60;415,306;473765;196784117,45;2604;
2024-05-28;424,00;424,20;430,00;430,60;421,70;421,90;423,292;556632;235625178,15;2438;
2024-05-27;427,60;427,80;424,00;429,00;423,30;429,00;427,876;176669;75588766,8;1557;
2024-05-24;424,00;424,30;424,00;429,40;422,20;424,10;425,025;390036;165763217,15;2625;
