sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;2746,00;2748,00;2750,00;2784,00;2730,00;2756,00;2761,087;32489;89706483;1191;
2024-06-24;2762,00;2766,00;2758,00;2776,00;2708,00;2766,00;2760,762;26479;73087050;1427;
2024-06-21;2744,00;2748,00;2822,00;2822,00;2736,00;2758,00;2759,968;52613;145249501;1935;
2024-06-20;2838,00;2840,00;2862,00;2872,00;2826,00;2838,00;2844,19;19733;56134415;1019;
2024-06-19;2858,00;2862,00;2834,00;2866,00;2826,00;2860,00;2856,06;16781;47927701;810;
2024-06-18;2832,00;2834,00;2784,00;2840,00;2770,00;2836,00;2819,938;27328;77061255;1457;
2024-06-17;2758,00;2762,00;2754,00;2796,00;2744,00;2766,00;2761,796;33475;92452378;1683;
2024-06-14;2762,00;2766,00;2840,00;2854,00;2750,00;2750,00;2767,184;30304;83856874;1374;
2024-06-13;2840,00;2844,00;2890,00;2908,00;2834,00;2834,00;2849,176;29703;84641159;1355;
2024-06-12;2888,00;2892,00;2844,00;2904,00;2808,00;2894,00;2869,075;37678;108099900;1777;
2024-06-11;2856,00;2860,00;2848,00;2876,00;2834,00;2856,00;2855,335;35824;102289328;1345;
2024-06-10;2836,00;2840,00;2818,00;2844,00;2804,00;2844,00;2832,33;28729;81352359;1352;
2024-06-07;2816,00;2820,00;2856,00;2866,00;2818,00;2832,00;2840,855;30375;86293136;1448;
2024-06-06;2860,00;2864,00;2934,00;3006,00;2856,00;2872,00;2905,685;61092;177588129;2589;
2024-06-04;2824,00;2828,00;2812,00;2848,00;2776,00;2828,00;2814,693;39429;110972439;1779;
2024-06-03;2822,00;2826,00;2902,00;2918,00;2814,00;2820,00;2859,648;64270;183967288;2837;
2024-05-31;2838,00;2840,00;2852,00;2880,00;2814,00;2880,00;2874,522;132576;381033973;1672;
2024-05-30;2854,00;2856,00;2868,00;2872,00;2818,00;2864,00;2852,223;32114;91590024;1493;
2024-05-29;2880,00;2882,00;2872,00;2894,00;2840,00;2884,00;2872,98;39589;113737735;2169;
