sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;242,30;242,50;245,00;245,00;238,20;242,60;241,435;1322882;319353164,63;11760;
2024-06-24;245,45;245,55;237,40;245,75;235,20;245,35;241,713;1302755;314153732,13;9365;
2024-06-20;240,30;240,45;244,00;244,35;237,90;240,10;240,265;3820342;917902847,78;8435;
2024-06-19;243,10;243,50;238,50;243,80;236,50;243,30;240,994;1072685;258478187,94;8662;
2024-06-18;239,00;239,10;243,50;246,00;238,20;239,10;240,712;1306402;314550917,95;7600;
2024-06-17;242,10;242,30;241,10;245,00;237,00;242,80;241,182;1391681;335632250,5;10081;
2024-06-14;240,90;241,30;249,10;249,90;236,60;241,00;241,105;2529142;609966973,25;16757;
2024-06-13;249,10;249,20;254,80;256,40;248,80;249,10;250,54;1712213;429006819,25;9961;
2024-06-12;254,60;254,90;260,40;261,10;252,10;254,40;254,954;1914875;488206259,1;12387;
2024-06-11;260,10;260,30;265,00;267,60;256,90;260,00;263,746;3010218;793699927,3;11758;
2024-06-10;263,70;263,90;268,20;269,30;259,50;263,40;264,729;2761306;730995991,8;16660;
2024-06-07;271,50;271,60;250,80;272,70;250,60;272,20;265,839;5394523;1433798798,65;24488;
2024-06-05;248,80;248,90;252,00;254,80;248,30;248,90;249,813;1228318;306882124,45;7611;
2024-06-04;250,10;250,30;255,20;255,20;250,00;250,30;251,356;2735917;687600684,85;8491;
2024-06-03;255,00;255,20;253,70;258,40;253,00;256,50;256,563;2402729;616531031,81;10937;
2024-05-31;250,60;250,90;240,10;254,30;240,10;253,40;251,259;6462980;1622627238,7;16915;
2024-05-30;240,10;240,20;234,60;241,20;233,30;240,00;239,113;2009040;480299912,8;9721;
2024-05-29;234,80;235,00;242,80;243,10;232,60;235,60;235,455;5337363;1255753511,3;22001;
2024-05-28;246,90;247,30;251,00;253,90;245,90;247,50;249,296;1731498;431586361,75;8763;
2024-05-27;250,40;250,70;250,00;254,30;247,70;250,80;251,725;1308095;329333141,5;8730;
2024-05-24;250,10;250,30;249,00;250,90;247,80;250,10;249,639;1273231;317755291,61;7463;
2024-05-23;249,10;249,30;246,80;250,00;246,10;249,50;249,105;1351099;336517784,1;6771;
2024-05-22;245,70;245,80;245,60;249,80;243,20;246,50;247,301;1162528;287519475,3;8444;
2024-05-21;245,40;245,60;241,90;246,90;241,40;246,00;245,23;1937484;473775567,65;8506;
2024-05-20;241,70;241,80;240,00;243,50;236,10;241,90;241,369;982125;236948700,7;7938;
2024-05-17;239,40;239,60;236,30;241,00;235,30;239,80;238,968;1473081;351885082,2;6976;
2024-05-16;237,80;238,00;235,00;239,90;235,00;238,20;237,719;1762678;419019946,55;8511;
2024-05-15;234,80;235,00;231,10;235,00;231,00;235,00;233,749;1901762;444329606,15;6858;
2024-05-14;229,60;230,00;224,10;230,40;222,40;230,40;227,841;2158297;491642757,91;8859;
2024-05-13;224,35;224,55;226,00;226,05;220,30;225,00;222,95;1956938;436027955,33;9591;
2024-05-10;225,80;225,85;233,45;233,60;224,70;226,30;227,586;2203405;501581747,73;13342;
2024-05-08;230,50;230,70;224,00;232,20;222,55;231,75;229,479;1306852;299911405,29;7989;
2024-05-07;223,65;223,70;227,55;228,20;223,00;224,00;225,15;1533102;345208541,52;12825;
2024-05-06;223,30;223,55;220,25;225,05;220,25;225,05;223,612;1197472;267717889,1;5219;
2024-05-03;220,10;220,20;218,70;220,65;215,75;219,80;218,394;1246984;272231755,5;6787;
2024-05-02;217,95;218,10;219,20;220,25;211,90;217,70;216,794;3186284;690721721,7;16702;
2024-04-30;220,85;221,05;230,55;231,70;219,65;219,65;223,401;2222500;496595733,5;10554;
2024-04-29;230,75;231,00;230,55;232,55;227,15;230,25;230,285;2259716;520449208,7;11489;
2024-04-26;229,30;230,00;236,75;239,95;220,30;227,80;226,719;5679408;1286860742,2;28465;
2024-04-25;230,00;230,20;233,45;233,45;223,35;230,05;228,165;2527120;576496141,4;14250;
2024-04-24;233,85;233,95;233,50;236,05;231,90;234,10;234,113;1650996;386545822,6;7914;
2024-04-23;231,75;232,00;223,65;232,15;223,05;232,00;229,348;2027780;464770521,1;9773;
2024-04-22;222,85;223,05;224,70;225,60;220,70;223,55;223,315;1820184;405434853,1;7722;
2024-04-19;224,10;224,20;225,15;227,60;221,50;224,15;224,17;1770456;396885469,7;8246;
2024-04-18;225,65;225,75;229,50;229,50;219,40;225,80;223,419;2568004;573685460,2;12857;
2024-04-17;228,00;228,15;230,25;231,20;223,35;228,10;227,511;2053836;467331272,7;9689;
2024-04-16;230,65;230,85;231,80;231,80;227,05;229,95;229,774;2511020;576972544,6;12810;
2024-04-15;235,50;235,60;231,35;239,10;231,35;235,65;235,395;2548844;599977462;13164;
2024-04-12;230,40;230,50;227,25;233,20;227,05;229,85;230,562;2750944;634288322,6;12962;
2024-04-11;225,90;226,00;224,50;226,70;221,85;225,95;224,228;2167840;486084121,5;10628;
2024-04-10;223,70;223,80;223,00;226,75;218,25;222,95;223,312;4514560;1007429888,8;21538;
2024-04-09;222,65;222,75;245,50;246,65;217,00;221,45;226,504;11320096;2563448057,5;53708;
2024-04-08;245,15;245,25;240,00;247,00;239,35;245,40;243,912;2226748;543179854,9;10239;
2024-04-05;239,55;239,70;239,40;242,00;234,80;239,60;238,506;2035212;485346487,9;8935;
2024-04-04;239,35;239,40;241,70;242,45;236,00;240,00;238,829;2243668;535789222,5;10905;
2024-04-03;240,95;241,10;238,70;241,55;235,90;241,50;239,301;1594196;381495138,9;9064;
2024-04-02;237,15;237,25;238,50;242,85;234,55;237,55;238,924;2458596;587425684,1;13848;
2024-03-28;237,10;237,45;241,15;242,35;237,05;238,00;238,931;1528708;365256789,4;8394;
2024-03-27;240,70;240,90;241,70;244,05;238,80;241,10;241,759;2107048;509406028,1;14102;
2024-03-26;240,25;240,50;237,50;240,90;235,55;240,50;239,013;2429776;580753890,4;14064;
2024-03-25;236,40;236,60;235,35;239,05;235,20;236,60;236,87;2872308;680360975,9;18368;
2024-03-22;233,55;233,70;228,75;234,15;228,60;233,60;232,389;2668144;619958719;11130;
2024-03-21;228,30;228,45;229,85;230,75;226,70;227,95;228,809;2378332;544186432,3;9366;
2024-03-20;226,95;227,05;225,10;228,25;223,05;227,25;226,166;1916728;433504500,1;8957;
2024-03-19;224,75;224,80;222,50;225,20;219,15;224,90;223,231;2714604;606041467,3;10433;
2024-03-18;221,15;221,25;217,75;221,40;216,60;221,40;219,634;2404952;526441129,6;10020;
2024-03-15;217,40;217,45;216,25;219,50;214,05;217,50;217,493;3600100;783007627,9;12079;
2024-03-14;215,60;215,70;213,25;218,30;213,25;215,50;216,314;2962960;640898187,5;11210;
2024-03-13;212,50;212,65;213,00;213,55;209,30;212,55;211,765;1916020;405753873,8;7847;
2024-03-12;212,15;212,20;211,60;216,20;207,85;212,30;211,904;2889732;612302109,8;10650;
2024-03-11;211,85;212,00;206,05;212,90;205,00;211,60;210,721;2856432;601916634,5;11718;
2024-03-08;205,20;205,35;209,30;210,40;203,30;205,55;206,928;1893596;391789760;10173;
2024-03-07;207,55;207,85;203,85;208,85;203,55;207,80;206,784;1985920;410558842,8;8988;
2024-03-06;203,45;203,60;205,10;205,90;198,05;203,85;202,539;3312360;670867081;14021;
2024-03-05;204,60;204,75;213,10;214,65;201,65;205,15;207,386;5982428;1240235165,3;23524;
2024-03-04;214,15;214,50;206,25;214,50;204,80;213,70;210,225;2957644;621659336,3;12384;
2024-03-01;205,60;205,70;205,00;207,15;205,00;205,35;206,003;1414396;291371578,8;6806;
2024-02-29;204,20;204,30;204,75;206,00;202,65;204,10;204,108;2686316;548301149,3;7262;
2024-02-28;203,70;203,90;200,15;204,40;199,85;203,65;202,637;1413612;286447652,9;7151;
2024-02-27;200,00;200,15;206,20;208,30;199,85;200,05;203,145;2981844;605745448,3;13436;
2024-02-26;205,65;205,75;198,00;205,90;197,45;205,75;203,856;3103076;632593747,8;13143;
2024-02-23;197,20;197,35;193,15;199,75;193,15;197,45;197,014;1892660;372906228,2;9483;
2024-02-22;193,35;193,50;196,40;196,75;190,50;193,10;193,476;2953036;571272163,9;11566;
2024-02-21;198,55;198,60;200,85;201,95;195,20;198,80;198,197;2534440;502319897,5;10026;
2024-02-20;199,60;199,65;199,95;202,30;198,00;199,90;200,192;2274668;455357728,7;8427;
2024-02-19;198,95;199,00;198,35;199,65;195,55;199,25;198,164;2353960;457534660,4;7886;
2024-02-16;197,95;198,05;197,05;198,45;194,00;198,05;197,062;2603716;513029352,1;9036;
2024-02-15;194,35;194,50;194,95;197,45;192,45;194,55;195,248;2211496;431819189,3;7974;
2024-02-14;193,75;193,85;188,75;194,50;188,75;193,95;192,836;2156288;415840598,4;7960;
2024-02-13;188,35;188,95;191,50;192,50;187,90;188,25;189,543;2456636;465636201;8957;
2024-02-12;190,90;190,95;184,40;192,30;184,00;190,95;189,364;3098680;586867475,4;11052;
2024-02-09;180,95;181,10;176,15;186,30;175,50;181,05;181,402;5604656;1016679864,88;16167;
2024-02-08;173,85;174,10;173,00;174,95;172,50;173,80;173,90;1710524;297506996;6012;
2024-02-07;172,75;172,80;172,10;173,40;171,30;172,85;172,559;1094464;188865723,5;4318;
2024-02-06;172,35;172,45;170,45;172,85;170,45;172,05;171,952;1328456;228421038,9;4377;
2024-02-05;169,85;170,00;170,75;172,10;169,10;169,85;170,489;1248180;212803510,9;5372;
2024-02-02;170,15;170,20;169,50;171,05;168,90;170,20;170,135;1057320;179887915,8;3696;
2024-02-01;169,10;169,15;168,30;169,55;167,60;169,10;168,705;1266664;213692603,9;3417;
2024-01-31;168,65;168,75;169,95;170,20;168,10;168,20;168,613;1098160;185166117,3;3538;
2024-01-30;169,50;169,60;169,35;171,35;169,00;169,55;169,908;958728;162894778,3;3674;
2024-01-29;169,00;169,35;168,75;170,45;168,50;169,35;169,55;1103288;187055258,7;3478;
2024-01-26;167,85;167,95;170,00;170,00;166,50;167,55;168,062;1143936;192253915,1;4558;
