sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-06-25;563,00;564,00;561,00;568,00;561,00;562,00;563,716;10204;5752214;334;
2024-06-24;559,00;561,00;554,00;563,00;553,00;560,00;559,061;9480;5299896;311;
2024-06-21;557,00;559,00;556,00;561,00;554,00;557,00;557,453;16591;9248975;393;
2024-06-20;559,00;560,00;557,00;560,00;554,00;560,00;557,876;8988;5014186;293;
2024-06-19;557,00;559,00;558,00;561,00;555,00;557,00;557,578;4804;2678606;215;
2024-06-18;558,00;560,00;566,00;566,00;558,00;558,00;560,045;5382;3014732,5;206;
2024-06-17;559,00;561,00;560,00;568,00;557,00;559,00;562,215;8488;4771362,5;297;
2024-06-14;560,00;561,00;561,00;565,00;556,00;560,00;561,121;12317;6911405,5;369;
2024-06-13;560,00;563,00;567,00;569,00;561,00;561,00;564,253;6330;3571720;209;
2024-06-12;567,00;569,00;562,00;569,00;557,00;567,00;560,553;22097;12386468,5;442;
2024-06-11;563,00;564,00;565,00;568,00;559,00;562,00;562,93;9716;5469797;301;
2024-06-10;567,00;568,00;572,00;572,00;563,00;567,00;567,917;7372;4186372;290;
2024-06-07;571,00;572,00;570,00;574,00;567,00;571,00;570,262;9234;5264557,5;276;
2024-06-06;567,00;569,00;562,00;572,00;561,00;567,00;568,333;7522;4275004;285;
2024-06-04;565,00;566,00;573,00;573,00;563,00;563,00;566,818;6583;3731467;266;
2024-06-03;574,00;575,00;576,00;579,00;572,00;572,00;575,059;7800;4486254;278;
2024-05-31;572,00;574,00;583,00;583,00;572,00;573,00;573,28;27668;15861517;452;
2024-05-30;574,00;576,00;572,00;581,00;572,00;577,00;576,417;9109;5250126;275;
2024-05-29;573,00;575,00;582,00;586,00;572,00;572,00;577,381;10779;6223849;389;
2024-05-28;581,00;583,00;580,00;589,00;580,00;581,00;584,707;23180;13553614,5;403;
2024-05-27;579,00;580,00;574,00;585,00;573,00;579,00;578,93;14068;8145363;302;
2024-05-24;575,00;576,00;573,00;581,00;570,00;577,00;576,895;11313;6526415;352;
2024-05-23;575,00;576,00;572,00;581,00;571,00;574,00;577,029;11929;6883793,5;343;
2024-05-22;575,00;577,00;578,00;580,00;574,00;575,00;576,297;8377;4827788;230;
2024-05-21;576,00;578,00;574,00;580,00;572,00;578,00;577,631;10044;5801794;346;
2024-05-17;575,00;577,00;577,00;581,00;574,00;574,00;576,633;9158;5280808;235;
2024-05-16;578,00;579,00;572,00;579,00;572,00;578,00;575,554;12198;7020593;343;
2024-05-15;572,00;574,00;568,00;574,00;568,00;573,00;571,749;13985;7995922;317;
2024-05-14;565,00;567,00;572,00;575,00;564,00;568,00;569,883;18758;10691397;550;
2024-05-13;571,00;573,00;571,00;577,00;568,00;574,00;573,328;14118;8094622;388;
2024-05-08;567,00;570,00;562,00;574,00;562,00;571,00;569,467;17620;10034508;450;
2024-05-07;562,00;564,00;562,00;565,00;557,00;565,00;563,263;12081;6804709;319;
2024-05-06;560,00;562,00;554,00;563,00;550,00;563,00;559,983;12649;7084244;382;
2024-05-03;554,00;556,00;558,00;560,00;553,00;554,00;555,637;8524;4736246;264;
2024-05-02;557,00;558,00;556,00;560,00;551,00;559,00;556,793;16698;9297325;460;
